Date;Price;Open;High;Low;Change %
01/01/2026;3.639;3.639;3.639;3.639;0.15%
12/31/2025;3.634;3.662;3.662;3.632;0.06%
12/30/2025;3.632;3.661;3.668;3.627;0.11%
12/29/2025;3.628;3.633;3.651;3.628;-0.14%
12/26/2025;3.633;3.655;3.659;3.633;-0.53%
12/25/2025;3.652;3.650;3.652;3.647;0.23%
12/24/2025;3.644;3.666;3.668;3.639;0.14%
12/23/2025;3.639;3.661;3.668;3.640;0.52%
12/22/2025;3.620;3.631;3.646;3.597;0.14%
12/19/2025;3.615;3.626;3.646;3.602;0.06%
12/18/2025;3.613;3.642;3.673;3.606;-0.58%
12/17/2025;3.634;3.658;3.660;3.629;-0.08%
12/16/2025;3.637;3.638;3.671;3.632;0.25%
12/15/2025;3.628;3.648;3.648;3.620;0.28%
12/12/2025;3.618;3.662;3.680;3.615;-1.15%
12/11/2025;3.660;3.676;3.696;3.657;-0.79%
12/10/2025;3.689;3.743;3.746;3.676;-1.02%
12/09/2025;3.727;3.739;3.741;3.723;0.38%
12/08/2025;3.713;3.716;3.733;3.702;0.22%
12/05/2025;3.705;3.722;3.727;3.700;-0.03%
12/04/2025;3.706;3.735;3.735;3.699;-0.51%
12/03/2025;3.725;3.792;3.792;3.712;-1.17%
12/02/2025;3.769;3.811;3.824;3.766;-0.48%
12/01/2025;3.787;3.809;3.834;3.774;-0.24%
11/28/2025;3.796;3.856;3.886;3.793;-1.49%
11/27/2025;3.854;3.846;3.854;3.846;0.15%
11/26/2025;3.848;3.833;3.866;3.825;0.52%
11/25/2025;3.828;3.844;3.854;3.826;0.05%
11/24/2025;3.826;3.836;3.860;3.821;-0.29%
11/21/2025;3.837;3.887;3.892;3.832;-0.83%
11/20/2025;3.869;3.898;3.905;3.861;-0.08%
11/19/2025;3.872;3.882;3.882;3.859;0.13%
11/18/2025;3.867;3.898;3.898;3.867;-0.15%
11/17/2025;3.873;3.886;3.904;3.867;-0.26%
11/14/2025;3.883;3.908;3.912;3.873;-0.23%
11/13/2025;3.892;3.885;3.908;3.882;0.39%
11/12/2025;3.877;3.869;3.882;3.867;0.05%
11/11/2025;3.875;3.875;3.875;3.875;-0.05%
11/10/2025;3.877;3.863;3.880;3.857;0.65%
11/07/2025;3.852;3.861;3.883;3.847;-0.18%
11/06/2025;3.859;3.898;3.926;3.854;-0.75%
11/05/2025;3.888;3.901;3.901;3.877;-0.05%
11/04/2025;3.890;4.007;4.089;3.885;0.13%
11/03/2025;3.885;3.836;3.893;3.829;1.73%
10/31/2025;3.819;3.861;3.873;3.814;-0.96%
10/30/2025;3.856;3.908;3.924;3.851;0.18%
10/29/2025;3.849;3.823;3.885;3.800;0.94%
10/28/2025;3.813;3.831;3.834;3.810;-0.13%
10/27/2025;3.818;3.888;3.888;3.816;-1.09%
10/24/2025;3.860;3.892;3.927;3.858;-0.69%
10/23/2025;3.887;3.890;3.916;3.882;0.13%
10/22/2025;3.882;3.898;3.898;3.882;-0.08%
10/21/2025;3.885;3.987;3.987;3.883;-0.28%
10/20/2025;3.896;3.938;3.938;3.885;-0.87%
10/17/2025;3.930;3.960;3.963;3.922;-0.61%
10/16/2025;3.954;3.986;3.988;3.944;-0.15%
10/15/2025;3.960;3.947;3.963;3.939;0.25%
10/14/2025;3.950;3.960;3.971;3.942;-0.13%
10/13/2025;3.955;3.953;3.955;3.953;0.21%
10/10/2025;3.947;3.960;3.978;3.947;-0.18%
10/09/2025;3.954;3.957;3.978;3.936;0.25%
10/08/2025;3.944;3.952;3.957;3.939;0.00%
10/07/2025;3.944;3.955;3.960;3.940;-0.30%
10/06/2025;3.956;3.961;3.997;3.948;-0.08%
10/03/2025;3.959;3.955;3.974;3.946;0.10%
10/02/2025;3.955;3.950;3.981;3.937;0.33%
10/01/2025;3.942;3.955;3.960;3.937;-0.13%
09/30/2025;3.947;4.057;4.057;3.943;-0.40%
09/29/2025;3.963;3.969;3.977;3.953;0.05%
09/26/2025;3.961;3.981;3.992;3.954;-0.63%
09/25/2025;3.986;3.947;4.004;3.945;0.66%
09/24/2025;3.960;3.960;3.994;3.947;0.33%
09/23/2025;3.947;3.961;3.961;3.945;0.00%
09/22/2025;3.947;3.981;3.997;3.942;-0.80%
09/19/2025;3.979;3.978;3.997;3.978;-0.10%
09/18/2025;3.983;3.978;3.993;3.970;0.20%
09/17/2025;3.975;3.996;3.999;3.944;-0.33%
09/16/2025;3.988;4.155;4.155;3.984;-0.35%
09/15/2025;4.002;4.040;4.043;3.994;-0.72%
09/12/2025;4.031;4.035;4.046;4.028;-0.02%
09/11/2025;4.032;4.043;4.055;4.019;-0.07%
09/10/2025;4.035;4.056;4.061;4.035;-0.25%
09/09/2025;4.045;4.054;4.064;4.038;0.42%
09/08/2025;4.028;4.030;4.046;4.009;0.32%
09/05/2025;4.015;4.104;4.107;4.007;-2.17%
09/04/2025;4.104;4.136;4.143;4.084;-0.46%
09/03/2025;4.123;4.149;4.154;4.120;-0.39%
09/02/2025;4.139;4.157;4.170;4.133;-0.38%
09/01/2025;4.155;4.155;4.155;4.155;0.13%
08/29/2025;4.149;4.199;4.199;4.147;-0.79%
08/28/2025;4.182;4.185;4.201;4.180;-0.21%
08/27/2025;4.191;4.209;4.209;4.175;-0.12%
08/26/2025;4.196;4.214;4.214;4.194;-0.12%
08/25/2025;4.201;4.203;4.211;4.201;0.12%
08/22/2025;4.196;4.241;4.255;4.193;-1.01%
08/21/2025;4.239;4.226;4.262;4.221;0.43%
08/20/2025;4.221;4.234;4.255;4.213;0.00%
08/19/2025;4.221;4.242;4.258;4.222;-0.19%
08/18/2025;4.229;4.230;4.239;4.219;0.17%
08/15/2025;4.222;4.228;4.237;4.212;-0.02%
